,imdb_id,title,mpaa_rating,runtime,genre,star_rating
8108,tt9773184,Mareld,NaN,94 min,Thriller,7.7
8109,tt4974616,Smuggling Hendrix,NaN,92 min,"Comedy, Drama",6.7
8110,tt6864088,Baghdad in My Shadow,NaN,105 min,Thriller,7.0
8111,tt8555260,My Killer Client,TV-14,90 min,Thriller,4.7
8112,tt1488181,Adventures in Zambezia,G,83 min,"Animation, Adventure, Comedy",5.8
8113,tt1678040,Bed & Breakfast: Love is a Happy Accident,PG-13,89 min,"Comedy, Romance",5.0
8114,tt6423578,Lang Tong,TV-MA,82 min,Thriller,5.2
8115,tt6889032,The Cake General,NaN,101 min,"Comedy, Drama",6.9
8116,tt1616096,Dreng,NaN,96 min,Drama,6.0
8117,tt7909444,Ága,NaN,96 min,Drama,7.4
8118,tt5259598,The Immortal Wars,NaN,92 min,Action,5.6
